kebangsaan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember
Brunei Darussalam,585,815,928,740,894,969,1151,1795,924,902,1106,-,-
Malaysia,112287,127020,152447,147248,169185,168759,154967,174788,152210,138597,141746,-,-
Philippines,12065,12299,14964,15858,16911,19091,20868,19265,18237,17554,18299,-,-
Singapore,96032,75192,124340,97280,100729,174443,109847,105456,114713,89770,118005,-,-
Thailand,4745,6063,9411,7320,8798,8913,12368,10567,9228,10540,9228,-,-
Vietnam,7970,8358,10399,9874,9719,12842,14278,12808,9368,7837,8077,-,-
Laos,173,218,231,211,317,213,334,495,310,368,322,-,-
Kamboja,724,864,844,925,1382,1038,1271,1083,1056,1065,1410,-,-
Myanmar/Burma,3253,1583,2651,3867,2660,3714,3137,3531,3614,3120,3408,-,-
Indonesia,40141,27226,31521,38682,29707,32708,34472,37142,32324,36093,23435,-,-
A S E A N,277975,259638,347736,322005,340302,422690,352693,366930,341984,305846,325036,-,-
Hong Kong,191,107,1079,1050,1129,1170,1258,1296,1098,1120,786,-,-
India,32839,36509,40989,48747,62680,68853,54906,48472,50773,49132,47667,-,-
Japan,12117,15791,17016,13090,18368,17850,23299,34878,29611,23157,22940,-,-
South Korea,27243,24712,21512,18436,26271,27036,38225,36342,36069,31018,29216,-,-
Pakistan,859,916,1080,624,1034,1188,1276,1399,1317,1314,1325,-,-
Bangladesh,245,282,720,699,883,823,857,767,912,770,742,-,-
Srilanka,278,328,518,490,550,507,779,649,839,594,750,-,-
Taiwan,13348,8114,10225,9725,11246,15221,16709,16147,14698,15380,13026,-,-
China,27080,34350,54549,55090,64056,62499,84955,85198,88758,75326,75486,-,-
Other Asia,74707,59578,67480,64988,65448,58928,61822,70044,62682,64068,67340,-,-
Afganistan,23,6,15,5,12,17,21,32,29,33,28,-,-
Bhutan,34,160,44,37,48,18,45,51,39,44,47,-,-
British Indian Ocean Teritory,-,-,-,-,-,-,-,-,-,-,-,-,-
Kazakhstan,733,556,513,506,630,662,771,664,601,624,734,-,-
Kirgistan,105,79,54,47,51,62,76,54,70,58,52,-,-
Korea Utara,-,-,-,-,-,1,1,3,3,3,-,-,-
Macao,9,1,239,229,271,279,503,438,73,116,403,-,-
Mongolia,156,150,71,162,356,146,166,114,99,170,189,-,-
Maladewa,165,191,161,79,315,258,481,242,206,271,247,-,-
Nepal,238,403,362,349,512,485,555,608,578,742,497,-,-
Stateless,-,1,1,-,2,1,3,-,-,2,4,-,-
Tajikhistan,37,31,24,10,14,11,39,61,18,23,46,-,-
Tibet,-,-,-,-,-,-,-,-,-,-,-,-,-
Timor Leste,70403,55946,63596,61077,60508,52719,55991,64285,57560,58891,62139,-,-
Turki,2240,1631,2093,2278,2339,3713,2448,2719,3041,2681,2650,-,-
Turkmenistan,9,21,18,6,16,16,26,21,80,21,23,-,-
Uzbekistan,546,394,282,202,371,540,695,750,283,385,278,-,-
Lain-lain,9,8,7,1,3,-,1,2,2,4,3,-,-
TOTAL ASIA (Excl.ASEAN),188907,180687,215168,212939,251665,254075,284086,295192,286757,261879,259278,-,-
Saudi Arabia,5778,5492,4462,4434,8483,12306,16430,11591,8781,8327,12900,-,-
Bahrain,63,94,79,83,167,200,199,283,147,178,179,-,-
Kuwait,391,249,155,194,313,521,596,1077,429,298,220,-,-
Egypt,695,898,735,939,1629,1597,1563,1770,1780,1924,1497,-,-
Uni Emirat Arab,331,394,557,549,728,1062,1235,864,594,562,522,-,-
Yaman,362,295,278,272,401,747,601,779,556,499,647,-,-
Qatar,89,111,140,121,115,289,358,245,113,118,106,-,-
Other Middle East,1762,1768,2961,1603,2436,3469,4605,3729,3523,2832,2430,-,-
Irak,163,184,121,112,179,245,305,281,293,366,267,-,-
Iran,198,246,1683,452,439,550,395,518,1079,511,438,-,-
Israel,23,10,66,46,86,284,179,286,199,103,15,-,-
Jordan,370,334,321,331,505,558,844,706,620,509,428,-,-
Libanon,129,132,164,234,230,442,512,477,308,281,208,-,-
Oman,643,663,292,216,720,1003,1946,1001,600,776,773,-,-
Palestina,120,73,189,101,147,217,241,226,241,145,136,-,-
Syiria,116,126,125,111,130,170,183,234,183,141,165,-,-
TOTAL MIDDLE EAST,9471,9301,9367,8195,14272,20191,25587,20338,15923,14738,18501,-,-
Austria,1272,1478,2317,2318,2917,2503,4475,4552,3636,3417,2203,-,-
Aruba,1,-,9,3,9,6,2,10,3,23,30,-,-
Belgium,1489,1701,2267,2921,3553,3590,8095,4613,6169,4055,2443,-,-
Denmark,2891,3141,4313,3248,2758,2792,6465,2627,2803,3597,2398,-,-
France,10587,12476,14176,20970,24889,20525,38015,41235,30798,30103,16731,-,-
Germany,13091,13942,19353,20496,24749,20553,25970,31862,33754,27177,16910,-,-
I t a l y,3460,4009,4300,5137,5760,7389,12955,31550,10715,7522,5727,-,-
Netherlands,11583,11163,15187,18185,20447,18649,37772,26069,27214,22160,15863,-,-
Spain,3312,3428,5654,6518,7218,8945,13587,19033,13190,10382,7119,-,-
Portugal,1913,1820,1988,2644,2487,2485,3063,3995,3246,3101,2446,-,-
Sweden,3312,3130,3953,3116,2307,2912,2730,1982,2673,3560,2812,-,-
Switzerland,2207,2263,2685,4140,3559,3326,8739,4595,5016,5527,3317,-,-
United Kingdom,17944,18974,27798,29555,29460,28644,34667,35822,32850,30043,22367,-,-
Finland,1265,1336,1207,891,720,723,590,615,869,1317,1248,-,-
Norway,1665,1791,2146,1499,853,2205,2593,978,1343,1464,1478,-,-
Other West Europe,2158,2180,3132,3178,3030,3797,4994,4542,3831,3449,2545,-,-
Andorra,4,7,5,27,22,13,28,37,22,37,9,-,-
Hellenic,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland (Islandia),75,95,185,115,91,159,146,61,101,183,74,-,-
